hand_1,hand_2,board_1,board_2,board_3,board_4,board_5,preflop_win_rate,fullboard_win_rate
Kd,4h,Qs,3c,4s,7d,9c,0.515,0.544
5d,Qs,4h,8s,2d,9c,7c,0.514,0.1175
2s,Td,3h,4h,9h,Qc,3c,0.4265,0.1705
Tc,Kd,Js,9c,8c,7c,8d,0.5945,0.8635
2h,5h,9c,7c,Jc,Th,8d,0.382,0.397
6d,4s,Qd,7d,Ac,9c,4d,0.3715,0.448
9h,6c,6d,4d,Qh,8d,Qs,0.4555,0.68
Ts,2h,6d,Ad,4h,Tc,3d,0.424,0.684
Td,Th,7d,Qh,8h,5h,3c,0.744,0.712
Jh,Jd,Ts,2c,4d,Td,5c,0.779,0.856
9h,7h,3h,5h,5d,Kd,Qs,0.485,0.1855
9d,3s,2s,Jc,7h,Ad,As,0.4025,0.1805
As,Ks,Ad,Ah,7c,9c,Qd,0.677,0.98
2d,Jd,9d,Jh,6c,Qs,Qc,0.466,0.793
4d,6s,Ts,Kc,Th,5d,3h,0.3715,0.013
Qc,Jc,Js,5h,3s,6h,6d,0.569,0.8415
7d,9c,Kd,Tc,2c,6d,3d,0.446,0.0905
5c,6c,Qc,Jc,5d,4h,9s,0.4525,0.533
Qc,5h,Js,2c,Ad,5d,4d,0.5165,0.471
3d,Qh,Kc,Ac,5s,8d,Kd,0.492,0.4445
Td,8c,7c,5s,3s,3c,Ad,0.516,0.1455
8d,Kd,Ah,4c,7c,6c,5h,0.5605,0.866
Ts,8h,8d,Js,3h,7d,2d,0.4995,0.7
9s,Ts,Ad,Qh,9d,Kh,5c,0.52,0.5635
Td,2d,2s,6h,4d,4s,8h,0.4405,0.558
4s,5s,7c,Js,3c,8d,5h,0.394,0.4875
9s,4s,Qd,6d,6s,2c,7d,0.449,0.1165
Js,5d,2c,5c,Qc,3s,9s,0.467,0.5635
Td,Qd,3c,2h,Kh,5d,8d,0.566,0.2635
Qc,9s,6c,5h,7s,6s,Td,0.5535,0.243
Qh,Kc,4c,4s,9d,Kh,Qd,0.609,0.8925
As,4s,Qh,2s,Ah,9c,Ac,0.5945,0.9585
Kc,8c,Js,Jc,9s,3d,Tc,0.6015,0.3235
Js,Tc,3c,8h,Ks,2d,Qs,0.5785,0.311
Qd,4s,8d,As,Kh,7s,Ah,0.4785,0.46
Js,2s,Ah,2h,8c,Jc,4s,0.4905,0.931
6h,8c,Kc,Kd,9s,Ah,2d,0.439,0.1805
9s,Ad,Qd,6c,Kh,4c,Kc,0.6005,0.421
2h,2s,As,Ks,7h,Kc,Qs,0.4835,0.5065
5h,3c,6s,Tc,2d,As,Qh,0.371,0.0175
Th,Qs,2c,6d,Jd,5h,9c,0.5605,0.155
2h,Qs,9c,Qc,Ah,5c,Ks,0.4635,0.603
Ks,7c,6d,Ac,Ah,Qc,7h,0.544,0.7575
Kc,7c,5c,Qc,7h,Js,9c,0.548,0.996
Qh,8h,3s,9d,Tc,6d,Kc,0.5645,0.2545
5s,Jh,5h,Qh,9d,Jc,Qd,0.478,0.805
Jh,Js,9s,9c,9d,7h,4h,0.801,0.924
Kd,7d,Qs,2h,6s,5h,9h,0.5775,0.204
Kc,Kd,Ts,8h,3c,3d,2c,0.821,0.8915
5d,3s,8s,4h,Qs,Jh,8h,0.3555,0.0165
8c,Qh,Tc,3h,3s,2c,Kc,0.5125,0.342
Qc,9h,Ts,5h,Qd,4c,Td,0.523,0.849
9s,8c,6c,2c,5h,6d,Ts,0.489,0.1045
3c,9c,7c,Jh,6c,7d,Ah,0.4375,0.1595
5s,Js,9c,Kc,Jc,3h,Jh,0.505,0.902
9c,Tc,Ad,7c,9h,6h,8d,0.5435,0.931
As,5d,3c,4s,8c,4d,5h,0.598,0.7
4c,3h,6d,6h,2c,Qh,8d,0.367,0.004
Ks,Kh,Js,2h,Ad,Qc,4s,0.816,0.7665
Tc,5d,Kd,2c,Ts,6h,4d,0.4455,0.736
3s,7c,8d,4s,7d,5h,3d,0.359,0.7325
7s,9h,6s,9d,3s,4h,Qh,0.4705,0.7115
Ac,2h,6s,2d,6d,4h,9h,0.5685,0.613
7h,2d,6c,3h,3d,Qs,9s,0.3335,0.0475
Ah,6d,5c,8c,6c,9c,Jc,0.5815,0.3895
9d,Ah,Kh,2c,Jh,3c,4h,0.5955,0.338
5s,8c,6d,4c,5c,8d,5d,0.4265,0.994
Qd,3h,3c,4c,6c,8d,5c,0.461,0.14
Th,Ks,4s,Qd,As,4h,Qs,0.6135,0.323
6h,Ks,4d,Qh,Td,5s,Jc,0.5475,0.2295
2s,Jh,Kc,6s,5h,4c,6c,0.467,0.199
9s,6s,8s,3c,9d,4c,3d,0.467,0.8125
As,2s,4c,Tc,5s,Ts,5d,0.554,0.7315
2h,Qc,2c,7h,3d,5d,Kh,0.4665,0.461
Js,4h,5d,6d,8h,Qd,Jd,0.438,0.4075
Ts,5c,4c,7s,6c,Ac,2c,0.448,0.708
9s,5h,4h,Jc,7c,6s,6c,0.406,0.0725
Qs,8c,4d,5c,8d,Tc,4c,0.5495,0.662
4c,3s,3c,9c,Th,2c,Qd,0.3495,0.4725
Qc,Ad,6c,2h,Td,3s,2s,0.6525,0.4695
6d,4c,2s,4h,3d,4s,2c,0.385,0.977
6c,Qd,9d,Qh,6s,7c,Js,0.5175,0.9205
8d,4c,Kc,8h,5d,Ac,Jd,0.3925,0.57
Td,4h,Ac,As,Qd,Jh,4c,0.4575,0.6265
4d,5c,7d,6h,Ks,Th,6s,0.409,0.0355
4s,Jh,8c,5c,9s,3h,Ac,0.4785,0.121
As,4h,2s,Kc,2h,Kd,4d,0.5565,0.753
Jd,2s,4d,Th,Jh,Kc,7d,0.4355,0.7205
7d,9c,Jc,Ac,6h,Jh,9d,0.4575,0.735
2d,7c,9d,Qs,Kd,5d,Kc,0.3275,0.09
Qs,6d,8d,2d,5c,4c,6s,0.519,0.458
9d,5d,3d,Td,Qs,7h,Js,0.459,0.167
3h,6d,5h,7d,2s,Kd,3s,0.3635,0.494
7s,Kc,9h,4s,7h,8h,5s,0.537,0.4655
8d,Ks,8c,4h,2h,4s,Th,0.5805,0.6885
4d,5c,6h,8s,Th,Ah,2h,0.394,0.0095
Ad,7s,Ks,3h,8c,2d,Jh,0.5695,0.358
Jh,2c,9h,7c,2s,Qh,6c,0.4325,0.4255
Jh,Kd,9c,Qc,4d,Ah,9d,0.604,0.4885
7d,2d,Qd,8s,5s,4d,Qh,0.3895,0.055
Ks,Tc,Ac,Jc,8h,3c,Js,0.5835,0.469
5h,3h,9c,3d,Qh,Ad,Th,0.388,0.4315
Kd,5h,4s,7s,Ts,9c,8s,0.5305,0.048
Kh,8s,Ks,6c,Js,Ad,Td,0.551,0.631
7d,Ac,7h,9h,Tc,7s,Jd,0.5895,0.807
3h,6c,6d,Jc,2h,5h,Kh,0.374,0.5985
Ad,Ts,Ks,3h,4s,Td,Qh,0.654,0.655
Qd,Jh,8c,Js,2s,4h,Ah,0.5935,0.7835
2d,2s,8d,Kh,As,Kc,5s,0.508,0.528
8h,Ks,As,Js,4d,3h,3d,0.549,0.4545
Jd,Ac,Qc,Jh,Th,7c,5s,0.638,0.7715
Qh,Qc,3c,4d,Ac,4h,7d,0.805,0.733
9h,4s,Ac,Kc,Ad,6d,9d,0.395,0.6795
4d,Kc,4s,2h,Tc,5d,3h,0.546,0.406
5d,Jd,2d,Qs,8d,9h,Kh,0.4915,0.248
Th,2s,6d,3s,6s,7h,7c,0.4005,0.222
5c,Tc,9h,7h,Qh,3d,Kh,0.509,0.0965
4d,As,Jh,Kc,4h,3c,Tc,0.579,0.51
Qc,6s,Th,Ac,2c,6h,Jc,0.523,0.5565
Jh,6c,3s,Kh,4d,6h,2c,0.4745,0.595
8c,8s,6d,8h,9s,6h,4c,0.687,0.998
2d,9h,8c,9s,Jd,Tc,8d,0.3665,0.368
8s,Ah,Td,Jh,Qc,5s,4s,0.601,0.3525
6s,Ac,Ks,Ah,Kh,2c,3c,0.5755,0.836
Jc,4h,Td,Tc,Jd,Ah,2h,0.472,0.7015
Ks,7d,4c,7h,Jh,Qh,6s,0.549,0.594
4c,9h,7h,8s,5h,5c,2h,0.4015,0.0295
Td,Ac,6s,Th,Qc,5d,6c,0.6225,0.783
Qc,3h,6h,2s,7s,5s,4s,0.4775,0.4595
4s,Js,6c,5s,Jc,Ah,Tc,0.5045,0.693
4c,Kc,Ac,Ad,2c,7h,6c,0.538,0.979
4s,As,2s,Tc,4d,8c,2h,0.5745,0.626
8c,Kh,Jh,As,4s,Ac,3c,0.5705,0.447
7d,As,Jh,Jd,Ts,Jc,2h,0.6015,0.6005
8c,Jd,9s,Kc,2d,Kh,Ac,0.5195,0.347
Jc,7d,Ts,Ah,9d,4s,7c,0.4825,0.55
7c,7h,Ah,7s,8c,Ks,4c,0.6415,0.977
3d,2h,Ts,8h,Qs,3s,8c,0.3305,0.5225
Tc,6c,Js,Td,4h,4s,7c,0.472,0.6785
Th,5c,4d,Jc,Kh,Qh,8s,0.4265,0.2775
Ks,3h,Ah,5c,Qh,7s,9s,0.52,0.329
As,Qs,Kc,6c,Kh,3h,7c,0.67,0.46
2h,3c,6c,8d,7d,2s,4d,0.304,0.2865
5d,9d,3s,2d,3c,8d,Ad,0.417,0.948
7c,Qc,Qh,8c,Kd,4s,8h,0.5425,0.736
2s,9d,Ac,9h,3h,5c,Jd,0.374,0.6255
7c,8c,9h,5c,Ah,9s,Jd,0.471,0.182
4s,7s,9h,Ks,Ts,Kh,Jd,0.427,0.1535
7s,Kc,Qc,9h,Js,7d,2h,0.5715,0.5475
Ac,8s,3h,Qs,Js,6s,Qd,0.6045,0.4315
Kd,Ah,4h,6c,3h,Qh,5s,0.666,0.2115
Ac,9s,3c,Qs,Jc,Qc,Td,0.61,0.4055
Td,Th,7h,7c,4h,3h,6c,0.7165,0.6955
Qc,8d,7s,5h,Ks,5d,8c,0.5235,0.6415
7c,8c,Kh,5h,Kc,3s,3d,0.4735,0.099
3c,6d,Th,5c,Ah,Jd,7d,0.368,0.06
7h,6c,Jd,9d,Qs,2d,Kh,0.4285,0.1065
6d,9h,4h,Ah,5d,9c,Th,0.4455,0.6275
5c,4h,4d,Ac,6s,Kd,6d,0.3505,0.568
4c,3h,Ts,Th,Td,Js,Jh,0.348,0.422
7d,9d,Tc,Js,Kh,8s,4h,0.4695,0.9745
Jd,Kh,8h,8s,9d,Th,6s,0.602,0.2675
Ac,5h,6c,5d,2s,4c,3c,0.565,0.399
7d,As,4s,6d,Kd,7c,3s,0.5765,0.631
4h,9h,3s,Jc,6s,7s,Td,0.4655,0.0785
7s,2c,7d,9d,Qc,Ks,Jc,0.334,0.35
Qd,8d,9s,Ac,5s,8c,5d,0.568,0.599
As,6d,5h,Js,Tc,Jc,8h,0.569,0.429
3c,Qh,6c,7c,8d,5d,4s,0.4805,0.4125
Jh,2d,6s,8c,Ah,7s,3c,0.441,0.09
Jd,Ac,8d,Ks,2s,5s,Jc,0.6365,0.7585
As,Jd,3d,9c,7c,Jh,3h,0.643,0.8525
Th,2h,4h,Ah,7d,Td,4d,0.4425,0.702
5c,Jh,9h,2d,Kh,Ts,Ah,0.4625,0.2525
8d,Qs,9c,Js,2h,7s,2d,0.526,0.232
Ac,5c,Tc,4h,4d,Kh,Kd,0.5975,0.632
6c,7d,Ks,7s,4d,Qh,Qc,0.418,0.719
5s,8h,Ad,Jd,9d,7d,4c,0.422,0.05
Qc,9s,3c,2s,2d,Th,4c,0.5295,0.245
7s,2s,Qh,9c,As,4h,8h,0.3905,0.0815
Th,8s,8c,8h,Jd,Ad,Kc,0.5035,0.954
Ks,9h,6s,8s,3d,2d,Jd,0.5785,0.241
8c,3s,Tc,Jd,4c,Qd,3c,0.384,0.3845
3s,6h,2d,Ks,9c,4h,Jd,0.344,0.015
2d,Kd,8h,7s,6c,7h,9h,0.5235,0.143
9d,8s,5h,7h,Kh,9s,6c,0.4615,0.883
7d,2h,5d,4s,4d,Jc,3h,0.3175,0.0035
5d,2c,6d,Td,9c,6c,As,0.3425,0.095
5s,4h,Ac,5c,8s,Jd,Qc,0.3645,0.4115
Td,6h,3c,3h,9s,4h,6c,0.4715,0.689
Kc,5c,8c,3d,Qd,8s,Jh,0.5625,0.3445
8d,7s,7h,2d,Jd,As,Js,0.443,0.7225
8h,Kd,Td,9s,Jh,6h,7s,0.559,0.9065
Ac,9h,6c,3c,Jc,Qd,4d,0.627,0.304
Ah,7s,Ac,Qc,8c,Ts,8s,0.611,0.789
Ad,5c,5h,6c,Ts,Kd,2d,0.6075,0.585
8c,Js,5d,9d,Ks,2c,Ac,0.5215,0.247
Jc,5d,Qh,2h,3d,Tc,2s,0.461,0.2695
2c,7d,6c,4s,9h,Jd,6s,0.3725,0.052
Ad,4h,Ah,Th,6c,5d,Kh,0.5675,0.7825
Ts,9h,8d,Qs,Qc,6s,Ac,0.508,0.2965
Qs,9d,Js,8d,3s,7c,6s,0.579,0.1335
Ac,Ks,Jh,7s,3d,7h,Ad,0.6525,0.9005
Qd,7c,Kc,Th,5d,Ts,2d,0.5345,0.344
Td,Tc,Ah,2h,4d,Qd,Qc,0.734,0.747
9h,Ah,Kh,2d,Qc,Jc,2s,0.619,0.4455
Jh,Kh,2s,Jd,Kc,Qd,Td,0.636,0.6365
Js,6d,2c,4c,Ks,8c,2h,0.457,0.2015
Qc,Qd,Ac,2d,3d,Kc,As,0.815,0.7485
Qc,Td,9c,Ad,5s,5d,Jc,0.5755,0.3645
Jd,Ks,3c,2d,5h,Qh,5s,0.624,0.3685
3s,As,7d,9h,5s,Ac,3c,0.598,0.913
3h,Jh,3c,8s,Jc,As,4s,0.4645,0.884
8d,Th,5d,3s,9s,6h,2d,0.4785,0.018
Ad,Jd,Qh,3h,2d,5c,Qs,0.6655,0.479
6c,Ts,Ad,Js,5h,8h,8d,0.454,0.2385
Ah,Td,8s,8d,4h,6c,Ts,0.619,0.8395
2h,9d,Kc,Ad,5h,3d,Kd,0.3905,0.156
2d,Th,Jc,4c,Ts,2h,4s,0.4175,0.7025
7c,Jd,3h,6d,Ks,3c,Kd,0.495,0.386
6h,Ah,9c,4s,4h,3h,Ad,0.587,0.821
8d,5c,Kh,8c,Jc,9h,Kd,0.4285,0.604
2d,Kd,9s,Kc,8s,4s,7s,0.533,0.511
Jc,Jd,Kc,7d,2c,Ks,Js,0.779,0.984
5d,9c,Kh,9d,Jh,7h,4h,0.409,0.3705
6c,5d,8s,3c,Ac,8c,2d,0.4,0.015
8c,Ad,Ts,3d,2c,Kd,3c,0.5995,0.473
Qc,6c,2d,8s,4d,9d,3h,0.5285,0.1535
5d,6h,Jh,Ah,8h,Qs,3d,0.403,0.049
6s,Qs,8s,Js,Jd,8c,9s,0.528,0.8
3c,Jd,6d,4c,2s,7s,Tc,0.469,0.0315
9d,Jh,5s,Qs,Qd,4h,3h,0.534,0.246
7c,7d,Ks,Qd,4s,3d,2s,0.6825,0.6095
Kc,3c,7d,8d,7h,3d,Ts,0.533,0.5385
5d,5c,7h,7c,3h,Qc,Ts,0.612,0.638
Ts,6h,2s,3h,4d,Ac,8h,0.4805,0.039
Qd,7h,Qs,Kc,4h,7d,3s,0.5075,0.933
Jd,Ad,Js,7h,Kd,3h,Ks,0.637,0.8985
Ad,3h,Ah,Ts,Js,Qh,5d,0.589,0.6805
6d,9s,3c,2c,2d,7s,Th,0.445,0.0955
7c,9s,Ad,Ks,6h,6s,2d,0.4655,0.175
Ks,3c,3h,2h,2c,8s,9c,0.5095,0.6135
6s,Kh,9c,Qh,7d,3h,4d,0.551,0.237
7h,8c,3h,Jc,2h,Td,8d,0.4365,0.6015
9d,Qs,4h,Ts,7c,Qh,6d,0.5505,0.8275
8s,Qd,9d,4s,7c,Qh,Ac,0.5155,0.779
4d,8c,3d,Th,2s,Ad,5s,0.3975,0.923
8s,9h,Th,Kh,Ks,9s,2d,0.5005,0.696
Jd,7c,Kd,4c,Qc,4h,9s,0.5095,0.357
6c,Jh,Qd,4h,Th,5h,7h,0.474,0.87
6h,3c,Kh,Kc,7c,3s,9s,0.343,0.5685
Kh,Ks,3c,2c,5c,4d,2h,0.8225,0.58
6s,Th,2d,Td,Qs,4d,As,0.449,0.6075
Qs,9s,5h,Jd,Ts,7s,Td,0.581,0.2875
Qd,9d,8s,9h,5h,Ks,2d,0.5765,0.776
3h,As,9s,3c,Th,Qs,8c,0.571,0.346
Jh,9c,Js,Kc,9d,6s,Qc,0.4995,0.7535
6h,Kh,Tc,2h,9c,Ah,Js,0.569,0.315
Th,Ah,3c,Ad,As,7h,Ks,0.624,0.968
8d,4h,6h,7s,2d,3c,5c,0.3815,0.984
5d,7d,4h,Kh,8c,6s,2d,0.4485,0.994
Ac,7c,Tc,Jd,9s,8d,9h,0.607,0.7635
9s,As,9h,Td,5s,Qc,Qh,0.6265,0.7345
7c,9d,8h,Ad,8d,8s,7h,0.481,0.774
Tc,4h,Ad,Td,Ah,Qd,Kd,0.43,0.311
2s,9h,3d,Qc,9c,5c,4s,0.401,0.648
8s,Ks,Kd,Jd,Tc,9c,2d,0.5975,0.663
9c,Ac,5d,8h,Tc,5s,Ts,0.651,0.648
Kh,5d,4c,6c,7d,Qc,8h,0.545,0.857
7d,2h,5d,9s,Qh,8d,Qd,0.3445,0.0945
As,2h,6d,6h,Tc,7h,5d,0.5615,0.374
Qh,Tc,9c,As,4d,Ah,Qd,0.564,0.858
3d,9c,5c,Kc,8h,Ts,Th,0.4075,0.1735
5h,4d,9h,6c,8c,Ac,Ah,0.3845,0.035
6h,Jd,Kc,Jc,Ad,Qc,3s,0.4555,0.4435
Kd,2c,7s,Ac,9d,4d,Jd,0.4995,0.304
2d,8d,7d,2s,2c,2h,9c,0.4185,1.0
Ad,7h,6h,2d,As,Kh,8d,0.567,0.8875
Kc,6h,Td,8h,As,Kh,5c,0.5205,0.7535
Ts,5c,2s,7s,6s,9h,As,0.4455,0.866
Js,7h,Jc,3s,Qd,3d,8d,0.48,0.6585
7h,7s,Qh,2c,Ad,5c,3s,0.674,0.509
3d,Th,2d,Ah,2h,3c,Ts,0.4155,0.744
8c,Ac,3d,5h,Qh,7s,5d,0.62,0.4445
Jd,7h,Ks,5c,Ad,6h,2c,0.5045,0.244
Js,9s,7s,5h,Ks,Ts,3h,0.5555,0.986
Td,3h,2s,Kd,Qs,5c,7s,0.426,0.148
Jd,6c,5s,7c,Tc,3s,2h,0.493,0.0865
Qd,7c,6c,Jd,Kd,5d,Qh,0.5105,0.6975
Kd,Ks,Kh,Qd,Tc,9d,4s,0.8375,0.824
2c,7d,Qs,Th,3c,Kd,As,0.35,0.112
7d,6h,8c,7s,4d,3c,9c,0.4345,0.5705
Qc,Kd,4h,8c,5s,4c,3d,0.613,0.352
4d,2d,4h,7c,3h,9c,4s,0.354,0.9345
5h,2d,7c,Tc,Ks,6c,Qs,0.3415,0.034
7c,3d,Ah,Qs,Qc,3h,4s,0.3845,0.5575
Kd,Qs,9c,8c,6s,Tc,Jh,0.646,0.9575
4d,Ah,3h,Ts,7h,6h,5c,0.566,0.8715
Ad,Jc,2c,Tc,3s,3c,8d,0.641,0.4795
8h,Qc,Ks,Ad,2d,2h,Qd,0.5475,0.605
Ac,8h,Js,6s,7s,Ts,Jd,0.594,0.278
8c,7s,6d,Jh,8d,Qh,5s,0.448,0.6145
8h,5h,2h,3d,7h,6d,5d,0.433,0.4375
Jh,4s,Kh,8h,Ad,Qs,9s,0.421,0.3445
Jd,6c,Kc,9s,7s,3c,2d,0.479,0.159
8h,3d,Kd,4s,Js,Ac,Qc,0.374,0.168
Th,2s,4s,Jc,Tc,8s,5d,0.4315,0.7035
7c,2c,6c,7d,Qd,Tc,9h,0.4265,0.4175
3s,Td,9h,7c,Kh,5d,9c,0.4225,0.152
9c,3c,7d,As,Tc,2s,5c,0.43,0.076
3c,3d,8d,Ac,9d,7d,Ks,0.544,0.346
2h,9d,7h,Jc,Kd,Ks,5d,0.3885,0.1695
Ad,Js,9c,5c,Ah,Qd,Qs,0.638,0.8975
3d,4c,Ah,7d,3c,Jc,9s,0.351,0.411
Qh,Ac,Kd,Ah,4d,Js,8d,0.6455,0.836
Qh,Kh,5d,8d,Ts,8s,Tc,0.6335,0.567
5s,Qs,2c,Ad,3d,7c,9c,0.5235,0.217
4c,7s,8d,4d,7h,3d,Qs,0.359,0.882
7d,4c,4d,8h,Td,7c,Kh,0.387,0.8755
8c,3d,Qh,Th,2c,3s,Jd,0.364,0.5015
Kc,Th,5d,Ks,7s,2h,Jh,0.589,0.8705
Tc,6h,8h,Td,6c,7d,Jd,0.4545,0.7245
3d,7d,3c,Jc,Qd,3h,9d,0.4155,0.9215
8s,7c,2s,Qc,5h,9c,Kh,0.464,0.128
4h,9h,Jh,7d,Qh,7c,Tc,0.4395,0.1415
Qh,2h,Ks,6c,5h,8h,Ts,0.489,0.198
Ad,4d,Kc,Kh,6h,9c,Jd,0.5885,0.4115
8s,Kc,Kd,Kh,9s,Qd,As,0.5695,0.9475
Ts,5s,4h,Jh,9h,Ks,6h,0.476,0.0865
6s,4d,3h,2c,7s,Jh,7d,0.4015,0.0175
3d,Qh,5d,Ad,6h,As,6d,0.4875,0.551
Ac,3s,Qs,6d,6h,5s,8s,0.561,0.4085
8s,5d,Kh,Kc,5c,4s,3c,0.4125,0.724
As,3c,8c,2d,8s,7s,4s,0.5715,0.3935
Js,Td,6d,Qc,3h,8c,6s,0.551,0.284
9c,7c,8d,9d,5h,4h,Tc,0.494,0.7105
2d,6d,2s,8s,Tc,Ac,9h,0.383,0.385
7c,6d,Qc,4s,Ks,2d,2c,0.402,0.05
Qh,5c,8s,9h,3c,Jd,4s,0.503,0.139
5c,2d,8c,7s,Ks,4h,8h,0.3315,0.0165
4h,5c,5s,8d,7d,8s,4d,0.359,0.527
3c,6h,Kh,Jc,Tc,2c,8h,0.3665,0.053
2h,8d,7h,3d,Ad,8c,Th,0.353,0.6135
Qs,Ts,4c,2c,7c,5s,Qc,0.601,0.511
6s,Qd,5c,Jc,Tc,6c,2c,0.533,0.324
Jd,Ac,As,3d,Kc,Kd,6c,0.6295,0.897
4s,7h,Ah,Tc,5c,Ks,3h,0.3655,0.0305
Qc,Kd,3c,Qd,9d,2d,2h,0.6145,0.8345
As,6d,Js,Qs,3h,2c,6s,0.583,0.64
8h,4d,4c,9c,Jc,Ts,3s,0.396,0.4865
6h,Jd,Ac,6d,Qh,7c,Tc,0.4585,0.451
4c,Jd,9s,Kh,2s,5s,Ts,0.4495,0.088
4c,8s,Kc,4s,5d,Qh,Jd,0.4075,0.4385
Ac,4c,Jd,Ad,Ts,5s,Jc,0.558,0.861
3s,4s,2c,9s,6s,4h,9d,0.3815,0.65
4c,7s,Jd,Ah,4d,9s,2s,0.36,0.541
9s,3d,3c,Js,Tc,Ah,3s,0.4235,0.9305
6c,9d,Kh,9c,8d,3h,Kc,0.4465,0.81
3d,3h,5h,Kh,Ah,As,Jd,0.514,0.4835
Th,Ah,7s,5s,Td,5c,Jc,0.6415,0.7105
Ad,Ts,Ks,As,7d,9d,3d,0.625,0.873
2c,6d,6h,4s,8c,3c,Ts,0.3465,0.565
Ah,Jh,Jc,3h,5h,Kd,Ts,0.63,0.7635
5d,2h,5s,As,9s,Kc,Kh,0.3145,0.5385
4c,2d,8c,2h,4h,Qd,Ah,0.3395,0.875
Jc,Td,Ks,Ad,Qd,Kc,As,0.554,0.816
Qc,Jh,5c,4c,6s,Td,2h,0.58,0.11
3c,Jd,2h,Ks,6c,Qh,Qs,0.4525,0.345
3d,5h,7d,4s,5d,Tc,2d,0.353,0.57
2c,Qs,4h,Ts,3h,9c,Th,0.485,0.218
Tc,8c,2c,4s,7s,Ks,Kd,0.546,0.1695
5d,8c,5h,Ts,Tc,7s,2c,0.427,0.667
7d,8h,4d,4h,5s,9d,9s,0.437,0.1215
6s,9s,Ad,4s,Th,Qc,5s,0.457,0.1635
4h,7d,Qc,5c,6s,5s,8s,0.3905,0.919
Ac,Tc,8h,Td,3s,Ks,Kd,0.6245,0.888
Th,Qd,5s,9s,7s,6h,6s,0.5675,0.092
2s,8s,Jd,Ts,3d,As,3h,0.4175,0.151
Kd,2c,2h,5c,7d,6d,2s,0.5115,0.9445
4c,8h,7c,2c,Ac,Ah,7s,0.395,0.163
6d,2s,5c,4c,Kc,4d,3h,0.3335,0.92
2h,7s,Kc,9s,3h,2c,8s,0.3315,0.4275
5h,Td,2h,Kh,2d,Jd,4d,0.423,0.2355
7c,Jc,9s,9h,Tc,3d,As,0.5065,0.237
9h,8d,6c,Ad,Qs,7h,Qd,0.49,0.2065
3h,Kh,Jh,8h,Tc,3d,5c,0.541,0.455
Kd,8c,2s,4d,7s,2d,8h,0.566,0.829
6s,As,Tc,Th,6h,Jh,8d,0.6035,0.5905
Kc,Qc,2d,Js,Qs,Td,Tc,0.639,0.8455
6d,Qs,Ah,7s,3s,Kh,4d,0.524,0.349
6c,7s,Kh,5h,9h,Js,9d,0.41,0.081
Kh,6s,Th,Kd,Jc,Jd,Td,0.5375,0.6845
6c,Th,Qc,2d,Ah,6s,2s,0.4585,0.6035
4s,Qd,9h,Js,As,4d,Ac,0.503,0.633
4c,2d,4d,5c,3h,7s,5h,0.3415,0.4675
Td,Qd,5s,Ts,5h,7s,Jd,0.611,0.6885
9s,Ts,3d,Ad,Ks,8d,5h,0.5755,0.1765
7c,6s,Td,7d,9c,As,9h,0.433,0.5995
6h,Kc,5h,7h,Jd,7c,5s,0.56,0.4705
Qh,Th,9h,As,2h,Qs,5d,0.6195,0.7785
Jc,Js,Kc,3s,Jh,8d,Ks,0.774,0.989
Ah,8c,As,Kc,Kd,Ks,7h,0.6005,0.9075
5c,3d,Qh,6d,7c,Jd,Kh,0.374,0.029
Jh,Jd,Td,7d,5s,6h,9h,0.7775,0.6755
Kh,2h,6c,4h,9h,4c,2d,0.5065,0.603
3c,Qh,Kc,Qs,9d,8h,Ad,0.4665,0.671
3c,Th,3d,Qd,2s,7c,9s,0.426,0.5275
7s,3h,Tc,7h,6h,3d,2s,0.3705,0.916
7h,Jh,Ks,Qc,Tc,5h,Qs,0.505,0.351
Jh,Td,5h,8h,Qh,3c,3s,0.559,0.258
7d,Tc,6d,5s,Qs,9d,4c,0.499,0.0785
Kc,Qs,Js,Kd,Ts,7h,Tc,0.6235,0.844
6s,Qh,5d,9s,4d,Jc,6c,0.4985,0.6275
7d,Jc,Ad,4d,2c,Th,8h,0.5175,0.179
Jc,2c,Kc,7c,4h,6c,Ah,0.478,0.985
2h,Ad,6c,6s,Ah,2s,9c,0.526,0.821
4s,8d,2h,5h,Td,Qc,3s,0.39,0.0315
9c,As,7s,3c,6h,Qc,5h,0.6025,0.2335
9c,9h,4h,Kh,7d,3d,7h,0.703,0.71
Ts,Ks,4h,2h,8s,Ac,Qd,0.602,0.3745
Qc,9h,4c,Tc,6s,Jc,6h,0.523,0.212
Td,4d,9d,Ts,2c,Qs,5h,0.464,0.6925
Qd,As,3d,7h,Jd,9c,6c,0.651,0.338
2h,6s,Ad,8c,Jd,5c,8h,0.361,0.064
3h,Ts,6s,Qh,7c,9h,3d,0.422,0.4215
5s,Ts,Qc,Jd,4s,Th,2h,0.485,0.6145
3d,Qs,2d,Ah,Qc,7s,6c,0.48,0.748
7d,4h,3c,4d,9s,7c,9d,0.4125,0.7785
Tc,8s,7h,4h,3h,6c,Kc,0.5315,0.0415
6h,8s,Jc,Ad,Kd,Ah,Td,0.4275,0.1785
Ac,8c,2s,4h,3s,Js,Ad,0.63,0.706
Ks,6d,7d,Kh,9h,4s,4h,0.5365,0.7775
3h,7d,5h,Th,Ks,Qh,Ah,0.3695,0.722
4d,6d,5c,Qd,6h,8s,Ts,0.42,0.518
5c,9s,Ad,4h,Ac,9d,5s,0.4185,0.7985
