hand_1,hand_2,board_1,board_2,board_3,board_4,board_5,preflop_win_rate,fullboard_win_rate
9s,9c,Qd,Ah,As,Jh,5d,0.7225,0.6432
5d,7h,5h,8d,9s,Ts,2h,0.4113,0.5052
Ad,Jc,6c,7c,Kd,Kc,3d,0.6317,0.4492
3d,Qh,Ac,Ts,7d,2d,Kc,0.4798,0.3382
6d,Td,6c,As,Qs,2c,7c,0.4845,0.5517
5c,Ts,7d,4d,Qd,Ah,9h,0.4476,0.1528
Kd,Ah,3s,Ad,8c,5s,7s,0.6618,0.8167
Tc,Ac,Jc,6c,Qd,Qh,Ah,0.6499,0.8479
Ah,Js,3c,Tc,9h,2c,Jc,0.6256,0.5186
9c,Jd,5h,Th,7d,6c,9s,0.5318,0.5986
5s,Jh,Th,3s,3d,6d,4c,0.4652,0.1367
Qs,5s,8s,9s,3s,6s,7d,0.5239,0.9081
5s,Qs,Ad,9s,4c,8s,3h,0.5193,0.2369
Jh,7h,2s,3d,5c,Kh,4s,0.5196,0.0945
2c,2s,Js,Qc,Th,5c,4s,0.5049,0.353
3h,6d,5d,9d,6h,7h,Qd,0.3611,0.3881
3s,Js,9s,6d,5c,Qh,2s,0.4873,0.125
Th,2s,6h,9h,8s,7d,4h,0.4251,0.8955
2c,3c,6d,Th,7c,Qh,4c,0.361,0.0043
7d,Tc,Th,Ts,8d,6h,Qh,0.4674,0.8891
2c,5c,2d,Jd,7h,Ah,Ac,0.3739,0.5755
6c,Js,8d,7s,Th,5s,5h,0.4853,0.1378
6s,Jh,Kh,6d,Js,8c,5h,0.4852,0.9165
Kh,5c,3c,2h,4d,Th,4s,0.5315,0.3126
8d,7h,9d,4c,Kc,8c,6h,0.4542,0.5996
5h,4c,2c,Ad,3d,5d,Td,0.3792,0.5981
5h,8c,6d,2c,8s,7d,5c,0.421,0.6473
9d,Qd,Ad,3s,Js,8s,Jh,0.5788,0.3483
Jd,Ac,4c,Ad,6c,Js,3d,0.6373,0.9577
Jd,3h,Td,7d,Ad,5h,Tc,0.4605,0.2379
3c,Th,7d,6d,Jh,Ks,6c,0.4274,0.257
6c,Qh,3s,2h,7d,9h,4s,0.5032,0.1527
3s,Kd,Ac,5s,Ts,8h,Qc,0.5053,0.3277
6h,Td,9d,3c,4h,Qd,Tc,0.455,0.7227
8s,Th,Ks,6c,4d,Ah,2d,0.4893,0.1656
7d,Jh,6s,Jc,Jd,Kh,Qd,0.5099,0.9339
As,4c,3c,5d,7s,Ah,Jd,0.5706,0.8306
3s,8h,9h,5s,Js,4s,Tc,0.374,0.0923
Kh,Jh,Td,9d,8s,9s,Tc,0.6273,0.5607
Kd,6s,Ks,6d,6h,2h,8s,0.5423,0.9948
2c,Js,6h,3d,Ah,8h,7c,0.4445,0.1061
Qd,Jh,4h,As,3s,6s,Tc,0.5721,0.2351
Jc,As,6h,9d,5h,Kc,4d,0.6495,0.3341
Js,Kd,2h,3c,Jd,9s,4s,0.5997,0.8586
8d,5s,8h,6s,Jc,Jd,Qh,0.4251,0.6954
Jd,2d,6s,8c,9h,6d,Js,0.4738,0.7651
4s,Qc,Ts,Ah,Jc,3h,7h,0.4934,0.219
6c,3d,4c,5s,Kd,2h,4s,0.3614,0.9667
Kd,2h,8c,7c,5h,5d,6h,0.5121,0.1557
2h,Qd,6h,Jh,7d,5d,Jc,0.4708,0.19
2s,Td,Kc,5s,Jh,8s,Kd,0.4219,0.2531
Kc,3d,2h,9s,Kd,5c,9c,0.5108,0.8309
3d,2h,6s,9s,Tc,Ah,4h,0.3303,0.0041
4c,5s,Ac,Kd,4d,Ah,6c,0.3851,0.6008
7h,Qh,Tc,8c,4d,Ks,8h,0.5399,0.356
Js,3d,4s,6d,2d,Jd,Th,0.4536,0.7802
6c,2s,Jh,Qs,Kc,2c,Qd,0.3442,0.5472
5h,8s,8c,6s,Kd,Jc,3d,0.4163,0.647
3c,Qd,Tc,8s,Ks,2s,8h,0.4824,0.332
Kh,6c,2h,Jh,3d,5s,Kd,0.5363,0.8202
Kd,7s,4c,2s,3d,Qs,Kc,0.5528,0.8295
3d,6d,4s,4h,8c,3h,Qc,0.4021,0.5841
6c,8s,3s,5h,Ks,Ad,8c,0.4404,0.6299
2d,Ks,9d,Kh,5s,2c,3c,0.496,0.9345
2c,7s,6c,9c,Ks,Kh,Jc,0.3461,0.1041
Ac,3s,As,8s,9c,4c,9s,0.5644,0.8108
7s,Ts,Qc,As,Ks,7c,4h,0.5106,0.5642
5h,Jd,Qc,Kd,9d,Ks,4h,0.467,0.3407
2h,Ac,9s,Ad,6c,7c,2s,0.5571,0.9355
2d,6c,8h,Ks,Kd,Ts,2h,0.3305,0.5703
2s,6h,Kd,Ad,Qd,Qs,4s,0.3439,0.0513
Kd,Ks,8s,6c,5s,6d,Qd,0.8187,0.8613
Kh,9d,6h,3s,5h,Js,8c,0.5783,0.2207
Ac,2h,6s,7s,4d,8d,Th,0.5482,0.1573
Ah,7s,Js,Qd,8h,9s,5c,0.5893,0.2478
2s,8s,7s,8c,Td,7c,4h,0.409,0.6472
2c,6d,Qs,4c,8c,3h,2h,0.3356,0.4038
5c,4d,6s,Jh,6c,4s,Ad,0.3898,0.5922
7h,Tc,3h,9s,8h,6c,Ts,0.4779,0.9092
Ac,Th,8d,3s,6s,3d,9d,0.6262,0.4074
3h,8s,6h,7h,5h,Ad,7c,0.3838,0.0382
Ts,7c,Td,2d,3h,6c,Jd,0.4851,0.6915
3d,Qs,Kh,Ks,8h,2h,2d,0.4849,0.4338
Ks,2h,8s,Kd,9s,9h,6d,0.4975,0.8054
3s,4c,Ks,Qh,7d,8d,Ts,0.3529,0.065
9h,7h,Jc,Jd,6d,8s,2s,0.4986,0.127
4h,4c,2s,9s,As,9d,5s,0.5634,0.3634
Ts,9d,Th,3h,5s,2h,Kd,0.5111,0.7101
9d,Qc,Jh,Tc,2d,Ad,6d,0.5606,0.2722
2h,4d,5c,8d,4s,7h,6h,0.3251,0.4125
5d,Ts,6h,Kh,8d,2s,6s,0.4441,0.1704
6d,Ks,8d,7c,As,6c,7d,0.5453,0.5554
4c,9d,2d,5d,Kh,3d,7h,0.4011,0.0312
Th,5h,8d,Qd,Qs,9h,5s,0.4609,0.5806
7d,Ad,Jc,9h,3c,9c,8d,0.6001,0.4012
5s,Jc,5h,8d,8h,6h,4c,0.4717,0.5205
Qc,2h,2c,3d,Kd,Ks,7d,0.4798,0.5683
Ah,Qc,5c,Kc,2c,8d,7d,0.6461,0.3409
2h,3s,8s,Th,8h,7s,2s,0.3249,0.5081
Js,5c,7c,Kc,3s,Ks,2c,0.4686,0.2303
Ks,6c,Tc,Ad,9h,Qh,Ts,0.5446,0.4485
Ah,Th,2s,Kd,4d,9s,4c,0.6419,0.5022
3s,4s,8s,Ks,Js,9d,3c,0.3836,0.9719
Ac,Td,9d,5s,Th,5d,2c,0.629,0.8729
Jc,3d,9d,Qd,Jh,8s,Qh,0.4468,0.6839
6h,Jc,Qs,4s,Kc,9h,Qd,0.48,0.3538
Qs,Ah,4d,3d,Th,2d,Jc,0.6479,0.3283
5c,6h,Tc,2d,7c,As,9s,0.3938,0.0592
Kh,Ad,Ts,2h,Jh,9d,9c,0.6577,0.4721
Qd,Jc,8d,3s,Js,Ac,7d,0.5847,0.7751
Qc,9c,3h,Ac,Qd,2d,Jh,0.5843,0.7591
3h,5h,6d,9h,2c,Qd,9s,0.3936,0.0204
4d,5h,Th,Ks,5c,Qd,6c,0.3871,0.4326
5c,7d,6s,5h,8s,2d,4s,0.3987,0.8855
4c,Kc,8h,Ad,7s,7h,5d,0.5617,0.4134
3c,6h,7d,2h,6d,Js,7c,0.359,0.6924
Ah,5h,Th,3s,Tc,4c,5s,0.6054,0.8142
Jd,Ts,7d,5h,9s,Qd,3h,0.5572,0.1616
8c,2c,Tc,8h,Kc,Jc,Ac,0.4007,0.9156
9h,2h,Qs,8c,Kh,Tc,Jc,0.4268,0.7413
9s,5h,Ts,Qd,4d,2h,4s,0.4271,0.1769
2d,Ts,Jd,6s,Jc,5c,As,0.4107,0.2387
5c,Ac,4s,Tc,Ts,Kh,As,0.5974,0.8024
5d,Kd,6h,Jd,Th,As,9s,0.5535,0.3152
3d,9d,8h,8c,3s,4s,8s,0.4284,0.7415
As,Ts,Th,Ad,7d,9d,6d,0.639,0.5263
3s,5d,7d,5s,9d,6d,Th,0.3649,0.3105
7h,Jc,8d,7c,3s,5s,As,0.4963,0.5971
Ac,4s,Qs,Kh,2c,Td,As,0.5632,0.7101
3c,Qd,Qc,7d,4c,2s,9c,0.4797,0.8022
Ts,Kc,8c,Th,Qh,3d,2c,0.5987,0.7824
2d,3d,Ts,2c,Th,8s,4c,0.3599,0.5662
8s,As,Kd,Td,5s,7s,6d,0.6318,0.2952
Td,8d,5c,9c,8h,3c,7h,0.522,0.551
Qs,5h,7c,4s,Ac,8s,Ts,0.503,0.1858
6s,3c,Ac,Th,Td,6h,Qh,0.3575,0.5591
7c,4c,Ac,Qd,2c,2s,Kd,0.4188,0.2469
7h,Ah,Jh,Ac,4c,5h,8c,0.6051,0.7978
4s,3c,4d,Qd,9d,5d,3h,0.3518,0.5446
6h,Jc,Kc,Ks,8h,Qh,2h,0.481,0.3272
5d,5c,5h,2s,6h,Qc,9d,0.5964,0.9594
6d,7h,7s,Kh,9s,5h,9d,0.4314,0.7016
8h,9c,8c,Js,5s,As,Ac,0.4792,0.6654
Qs,Kc,3h,Kd,8s,As,7d,0.6139,0.8165
Th,Qh,4d,Qc,Kc,8d,3c,0.5879,0.7488
Qc,Jc,4s,As,7h,8s,9c,0.5994,0.2304
4s,7s,Tc,5c,3d,Th,Js,0.4143,0.0477
9d,5c,3h,Qs,Th,Tc,Ad,0.4281,0.2641
5c,5h,9h,2h,8s,3d,Ts,0.6157,0.5304
Js,5c,7d,7s,Ah,Ac,Jc,0.4804,0.7566
9h,Qh,Kc,9c,8c,4c,7d,0.5754,0.4448
7c,4d,6s,3s,8c,9h,6d,0.3977,0.05
9s,3h,6h,Ks,Ah,5c,Qd,0.4021,0.1626
2c,Qc,Jd,Ad,Kh,6h,Ah,0.5015,0.4354
Qh,6h,Qd,5c,Ah,Kh,Ts,0.5342,0.5414
8d,Tc,Qh,4d,3c,Ah,2h,0.4954,0.1055
Kh,Ah,6s,4h,9c,Jd,Qd,0.6787,0.36
8s,7c,8c,9c,Kc,9h,Qc,0.446,0.8432
As,Kd,Tc,7c,Qd,9c,Qc,0.6562,0.251
7c,Qs,Jh,Ac,5d,8h,7h,0.5197,0.5039
As,5h,6d,9c,Th,9s,2c,0.5723,0.4179
3d,8h,2h,9d,4h,4s,5c,0.385,0.0344
5h,Jc,Ac,9d,3c,Kh,4s,0.4758,0.2253
5c,Ad,8d,3d,Ts,4h,5h,0.5764,0.6318
4d,7h,Jc,As,Tc,Qh,2c,0.3884,0.1024
Qh,Kc,Ad,8d,As,Ts,6h,0.6246,0.4928
7h,Qh,6s,7d,Ac,9d,Kh,0.5393,0.5739
2c,Ts,9s,Kd,5h,Js,Jh,0.4205,0.2559
Qc,6h,Tc,Kd,3h,4h,4s,0.5102,0.3527
Qs,3d,3c,Jc,4s,9h,Ks,0.4828,0.4698
2d,8h,4s,7s,Qc,Ts,8d,0.37,0.5694
6s,3s,9d,2s,4s,2c,7s,0.3911,0.9452
3h,6c,Qh,Ad,8s,9d,2s,0.3544,0.0562
3d,8d,Ac,Ad,9h,Qs,9c,0.4086,0.2803
9d,2d,3c,Kc,2c,6c,8d,0.4345,0.2505
Kd,7d,4c,Qd,5h,9s,Jc,0.5752,0.2415
9s,4c,3s,Ad,Qc,5h,6d,0.4014,0.0741
Qc,5d,Th,5c,Ad,7s,8c,0.5028,0.4407
8c,2d,3c,5c,Ac,2h,Kd,0.3708,0.3158
8d,2d,5h,3d,2h,Js,9s,0.3956,0.4232
Qh,Qc,7h,2c,3s,6s,Th,0.8018,0.8444
6h,4c,8c,9c,9d,Jc,5d,0.3735,0.0546
5h,9d,Ac,Th,4c,Ad,8d,0.4258,0.165
8h,Kc,8d,7h,5c,4s,6c,0.5628,0.417
Qd,5s,4h,Ac,Jh,6c,7s,0.4933,0.2074
3d,Qd,Kc,As,Td,Qs,Ts,0.504,0.475
Ah,9d,6s,Kd,5c,Th,Qc,0.6058,0.3679
7c,Qd,As,8c,Ks,7h,3h,0.518,0.6145
2s,7h,7d,Jd,5c,4d,5s,0.3464,0.634
Jc,Ts,Tc,9h,3d,4c,6h,0.5449,0.8126
4c,8c,9s,3c,7h,Jd,As,0.425,0.1067
Qd,Th,Tc,7h,As,8c,4c,0.5728,0.7073
4h,Ad,8s,5s,2s,2c,Ks,0.5676,0.2488
7s,Kd,2c,4c,Jc,Ah,Qh,0.5445,0.3066
8h,9d,6s,Ac,3d,As,Jc,0.4784,0.1938
7c,Td,Qc,Tc,Kc,9s,Ks,0.4731,0.5637
Ts,5s,8c,9h,5h,Th,7h,0.4768,0.4089
2s,2c,9s,Jh,9c,3s,Qs,0.4995,0.4562
Ah,8s,3d,As,2c,6c,5h,0.5989,0.6967
9h,5c,4s,4d,7s,Ts,5h,0.4156,0.5081
9h,Kc,5s,3c,Qh,3d,Ac,0.5734,0.4517
2d,6s,Td,7d,Ac,8d,3s,0.34,0.0525
4h,Qs,Td,Jd,8h,3c,As,0.493,0.2334
6s,3d,Ts,7d,4h,8s,Qs,0.3582,0.0478
6c,9d,9h,Qc,3s,4d,4c,0.4505,0.7187
Ts,Kd,3d,Jh,5d,9s,6s,0.5979,0.2231
9c,3s,7c,Qd,Jd,9d,Th,0.4077,0.3144
2h,3s,4h,2d,Qh,8h,Tc,0.3278,0.3947
5s,Js,9c,9s,6s,Td,Th,0.4971,0.3532
Tc,6h,Qd,Jd,4c,Jc,Ks,0.4614,0.3526
6h,8c,3h,Kd,9h,5c,Js,0.4296,0.1157
As,3s,Kh,5s,8s,8h,5d,0.578,0.6112
4h,Ah,Th,Kc,5d,8c,Ts,0.5884,0.4471
Ts,Td,6h,7s,2s,8h,3d,0.7519,0.8293
Ts,Ah,4h,Jd,Qd,4s,Td,0.6341,0.5827
Tc,Js,3d,6c,5s,7s,7c,0.5456,0.1091
2h,3s,5h,Qh,Kd,9c,4c,0.3257,0.004
Ac,Qd,Td,Jh,9h,Jd,Ah,0.6474,0.8171
Ad,4s,2d,9c,Ts,Td,As,0.575,0.8511
8h,3s,2s,Jd,9c,5d,9h,0.367,0.0921
Qd,5d,4h,Jd,Kc,2h,Ad,0.5209,0.3211
Qc,Qs,7s,Ks,6h,2h,4c,0.8078,0.7645
Qd,7h,8d,Ad,6c,Jh,Ks,0.5159,0.3425
7d,Kd,9d,4c,Ts,3d,Ad,0.5677,1.0
3h,4s,6h,5h,Ts,4h,7s,0.3569,0.7409
3d,Qc,6c,8h,9d,Jd,9c,0.483,0.2223
4c,8s,2s,7s,Ah,3h,Th,0.4049,0.0333
9c,6d,4s,2s,Kh,3c,7d,0.4432,0.0454
Td,9c,5s,Ad,2c,7s,4s,0.5159,0.0435
Ac,3d,5s,Tc,5c,4c,Ah,0.5679,0.7992
5h,3d,4c,4h,Jd,6d,9s,0.3572,0.0163
7c,7h,6h,4h,3c,5s,8s,0.6665,0.9509
7c,5d,5c,Kc,6h,2h,5s,0.398,0.9406
Ts,3d,Jc,9c,3s,6d,7s,0.4243,0.4159
8s,Ks,4c,6h,9d,7c,Jd,0.5854,0.2318
Js,3c,2c,3s,Kh,Ad,8h,0.4469,0.5541
Tc,6c,9d,3h,Jh,2c,Ac,0.4875,0.1629
Ks,Kd,8c,4h,Kh,Qc,7c,0.8236,0.9413
5s,5c,4s,3h,9d,2d,Td,0.6011,0.6106
Ts,6h,Kc,4s,4c,Qd,4d,0.4656,0.2591
8c,Ts,Ah,3c,Ad,3d,Jd,0.4904,0.1874
9c,Td,Kd,Ah,6s,7c,3c,0.5184,0.1792
8s,2s,3d,3s,Ac,8c,Kd,0.398,0.6137
6d,2h,3h,9d,Jh,4c,7c,0.3391,0.0162
Qs,Ac,Jc,Kh,8c,Jh,9h,0.6448,0.4475
Qs,Td,3h,9s,Ts,5d,4s,0.5735,0.7889
7d,7s,Ts,9d,Kc,9s,6d,0.6498,0.6215
Qs,2s,5d,As,Ks,5h,4d,0.5105,0.4587
6h,4h,3d,7s,4s,5c,Qs,0.4155,0.8915
2c,Qs,Ts,8d,6s,6d,7d,0.4718,0.1416
5d,Qh,Jc,5s,6s,Qs,Ac,0.503,0.8801
3d,Qc,7c,9d,8h,6d,Qh,0.4875,0.5264
Kd,3s,Kc,9h,Ac,Jd,9c,0.5141,0.6798
As,Jc,Js,4d,6c,Kc,Kd,0.6456,0.8942
6d,2s,3c,As,3d,Ks,Qc,0.3371,0.2505
5s,Qs,4d,7c,Ah,Qh,Kc,0.53,0.6669
2c,Ac,Js,8s,6h,3h,5c,0.5803,0.2867
Tc,Jh,9c,5h,7h,6d,6h,0.5555,0.1033
2h,Kd,7s,6d,6h,6c,9h,0.5132,0.425
9c,8s,Tc,Qs,7d,Kd,6s,0.49,0.9668
6d,2h,9h,Qc,Ts,8s,7d,0.3406,0.767
As,8d,Jd,9s,7c,9c,Kd,0.5986,0.4349
5s,Ad,Kc,5d,Tc,7s,Kd,0.57,0.6332
7d,Ac,3c,Qs,6c,Kc,7h,0.5896,0.6453
9c,2s,3h,7s,9d,Tc,Ks,0.3855,0.5981
Qs,3h,Qh,Td,5s,Jh,6s,0.4858,0.7948
9c,6s,8h,3c,Kc,Ad,2d,0.4386,0.1013
2s,Jc,9c,4h,Tc,3s,Qh,0.4404,0.148
7h,2s,6h,3h,4c,3s,7c,0.3367,0.6303
Jc,5c,9d,6c,2c,8c,3c,0.4994,0.8696
Ks,As,3s,Qd,Kh,9c,Ad,0.6664,0.9698
9c,4c,3h,8c,Ad,Ac,Qd,0.4568,0.1783
7d,3h,Ks,9s,Kh,Ah,Jd,0.3729,0.1467
Kh,Jh,Ks,Qd,Ts,Jc,Kc,0.6269,0.9971
8c,Jd,Qh,Kc,5d,9c,3h,0.5099,0.2777
Th,5h,3h,As,8d,Ac,2c,0.4748,0.1448
Qc,Ks,Qd,4s,2c,7c,Jc,0.6163,0.8591
Js,9c,9s,Jd,Ks,Kc,6d,0.5339,0.8271
8s,2d,3h,5h,6d,9h,8h,0.3734,0.3324
Jd,9h,4c,3h,Ad,7c,8d,0.5346,0.1515
Js,9c,6d,2s,6c,3h,7d,0.5383,0.1603
5c,4s,2c,7h,Qc,4h,Jd,0.3865,0.5405
6c,8h,Jd,Ac,5h,6h,3h,0.4383,0.6
7s,8c,Td,Kh,6c,9s,Ah,0.4523,0.9803
Ah,As,7h,3s,Kc,5h,Ad,0.8549,0.9679
9d,2c,Kh,3d,5s,2h,9s,0.389,0.9117
5d,Ac,2h,3h,5s,8h,8s,0.5737,0.7894
As,4d,4c,6h,6d,9d,6s,0.5728,0.7487
5d,Kh,Ts,3s,6h,Tc,4s,0.5252,0.2896
3s,6d,Qd,8s,Td,Kc,3d,0.3578,0.3979
3h,3d,4s,7d,8s,5c,5d,0.5431,0.4036
Kd,Qc,Qd,7d,Kc,Qh,Tc,0.6162,0.9977
3h,Qc,8h,5s,Ks,4h,Jh,0.491,0.2076
Qs,5h,Ts,3c,9s,2d,3d,0.4985,0.2514
Kh,9d,6h,3h,Jh,Jc,8c,0.577,0.3466
3d,4s,2c,Td,4c,6h,Qh,0.3527,0.51
5c,Th,Ad,Kh,7s,4s,6c,0.4376,0.1361
8c,5h,Kd,Jd,Qh,8h,Ah,0.4176,0.3551
6s,Ts,5d,3s,Kh,9s,Tc,0.4832,0.7391
6c,3d,Th,7h,9s,Kc,Qd,0.3648,0.0629
3s,Ac,Js,4s,8d,3c,8h,0.5545,0.6315
Js,Ts,Td,2h,Jh,Qc,Jc,0.58,0.9945
Kd,6c,5s,3c,9c,3d,Ks,0.5394,0.8287
Ts,2h,Jc,Ah,9c,3h,As,0.4148,0.2576
6s,9c,Tc,7c,Ah,6d,2s,0.4544,0.5566
2s,7h,Kd,Tc,Qh,5d,4s,0.3513,0.0503
Kh,9h,2d,Jd,Td,Qs,6d,0.6005,0.6295
Qc,5c,9h,Kh,2s,Th,Jc,0.5302,0.8855
2s,3c,4d,7c,9c,6d,3h,0.3255,0.3095
Kc,4s,6s,2h,Kh,5s,9d,0.527,0.8222
Ac,6h,5c,Qd,2s,7h,6s,0.5716,0.6367
Ah,Kc,2c,8h,7c,4c,4d,0.6506,0.4691
Ad,7c,9s,Tc,8h,3c,Th,0.5848,0.4149
9c,Qs,Qc,9s,Th,7c,9h,0.5492,0.9949
3d,4d,Kc,Ks,Ah,Th,5h,0.3909,0.0132
9d,8c,2h,Jd,Ts,Ac,Qs,0.4876,0.8264
8d,Ac,2d,5c,9c,8s,7h,0.6032,0.6088
9h,5c,Ad,8d,4s,9c,4h,0.4233,0.7231
Qd,6h,Qh,3c,Qc,8c,4h,0.5162,0.9127
Ac,7d,7h,4d,8h,Qs,6s,0.5915,0.5274
Tc,6h,6c,7c,Ts,7s,4h,0.4625,0.7648
Th,4c,Qc,4d,2h,Qs,5c,0.4275,0.6725
Ad,Qs,Kh,9h,8d,4s,3d,0.6505,0.3958
6d,9c,3h,Ts,Tc,Ah,6s,0.4471,0.7193
Ad,8h,Qd,Qs,Jd,Th,2h,0.602,0.4298
6d,9h,8s,Td,Ac,Tc,6c,0.4387,0.5625
Js,Ad,7s,5h,5s,8h,Jd,0.6315,0.8223
9d,7h,2c,9h,8s,Kh,Qd,0.4618,0.6452
3h,2s,6s,Qh,7c,Js,5s,0.324,0.0104
Ks,8s,As,5c,5d,5s,8d,0.5817,0.7534
7s,Ks,7h,4d,2d,5s,Jh,0.5712,0.7188
Jd,Js,9d,7h,Ah,Kc,5c,0.7789,0.6918
5c,9s,Jh,Ac,2s,Ts,2h,0.4263,0.1482
4s,7d,8c,9d,3c,9s,6h,0.3837,0.05
6d,7h,Th,9s,Jd,4s,5s,0.4227,0.0576
Js,Ks,4c,Jh,Qs,8d,4s,0.621,0.7431
Qd,5h,As,4d,Ah,Ts,2s,0.5017,0.2931
Th,Ac,7d,Ts,3d,7h,Td,0.6219,0.9762
Ac,Kh,3d,6s,5c,9s,Jd,0.6518,0.3446
9c,Ah,9s,5d,Ks,As,7h,0.6072,0.9216
Js,6d,8s,6c,8d,7h,Ad,0.4761,0.5581
2h,6s,7c,5h,3d,7s,8c,0.3438,0.0155
Kd,8s,Kh,4s,Ks,5c,7c,0.5575,0.9314
Qs,8d,5d,Tc,2d,Jh,8c,0.5388,0.6471
Td,Ts,Ac,3s,5h,9c,6s,0.7503,0.7312
7c,Kd,Ah,Qd,Kc,9c,5s,0.556,0.7597
9h,Kd,Tc,3d,2d,5s,Ks,0.5742,0.8413
3c,Qs,9c,7s,Ah,Ac,Jd,0.491,0.3376
8s,7h,6h,9s,9d,6c,Ah,0.4451,0.3393
3s,9h,4c,7s,Ah,5d,Td,0.3943,0.0524
Js,8s,3s,Th,8h,2c,3h,0.5397,0.6833
7d,3c,6s,7h,Jd,3s,4d,0.3639,0.7738
Th,3c,Js,6c,8h,Qd,6h,0.4202,0.2545
5h,Qd,4h,Ad,9s,Ac,2d,0.5023,0.3159
Kh,Qc,3d,5c,2c,7d,Jh,0.6167,0.2686
3c,Qh,4h,8d,Js,4s,2d,0.4895,0.2454
6s,8s,Ad,3c,Jc,Jd,4s,0.4656,0.093
3s,Ts,Jh,8c,Kd,Qc,2h,0.4608,0.2483
Qd,Tc,5c,Td,Jc,2d,Kc,0.5726,0.6403
6d,Tc,2c,8s,4h,3s,Qd,0.4657,0.0898
As,6d,9d,2h,Qs,8h,Ac,0.578,0.8456
Jd,Qs,2s,2d,7c,7h,2h,0.5812,0.4148
9s,7h,6h,9c,5c,Qc,Ad,0.4639,0.6233
Jd,As,Tc,9c,4d,Ks,Ah,0.6309,0.8843
Th,2d,Jc,3c,9d,Ks,6h,0.4189,0.1603
9c,Qc,4c,Ac,Kh,6c,Kd,0.5825,0.9652
As,6d,8h,Ad,Kc,4d,6h,0.5753,0.9571
Tc,7h,2h,7c,6c,Td,5d,0.4801,0.9398
7h,Jh,9d,As,4h,3h,9h,0.5253,0.9481
Kh,Ac,6s,7d,Js,4d,As,0.6513,0.83
Jc,9d,Ac,Qs,Kh,9s,Jd,0.5336,0.7558
Qs,Jc,5d,7s,6s,2d,3h,0.5845,0.1123
9s,Kc,2d,8c,4d,9c,Js,0.5762,0.7429
Ts,8s,3h,Jh,5h,Kc,Js,0.5218,0.2467
4c,4s,Qh,9s,6h,Ah,6s,0.5648,0.4908
5s,Ad,8d,8h,4h,9c,4s,0.5723,0.6148
9s,Kh,Qh,6d,2s,Ad,Qs,0.5667,0.4899
Qh,As,6s,4s,Kc,9c,Qs,0.6448,0.761
2d,Qd,7s,Jh,3d,6h,2h,0.5009,0.4197
Jd,Ac,8s,9h,6c,Jc,5d,0.6381,0.7005
3d,7c,As,Jd,Ah,9h,Ac,0.3576,0.1469
Ks,Kd,Ah,5d,Jc,Th,2s,0.8288,0.7802
9s,2h,6d,5c,Qh,8h,Ad,0.3791,0.0898
Qc,2d,9s,9d,Qd,Ks,4h,0.4844,0.7203
Qs,4h,6d,Kc,4c,5h,3s,0.4952,0.3193
Kd,5c,Js,Ad,Kc,Qh,5s,0.5352,0.7668
Th,5s,8c,6h,9d,Tc,3d,0.4431,0.6538
As,Jc,Kd,Ks,Td,5c,Qd,0.6359,0.9235
Qc,Kc,Kh,4c,5c,3c,7h,0.634,0.9915
Qh,6s,Js,Kh,9c,5h,2c,0.5116,0.2577
6s,Jc,Qd,Td,4c,4d,Ks,0.4858,0.3246
Kh,Qc,4d,Qs,Jc,Js,Ah,0.6053,0.7277
Jc,9c,4s,Kd,Td,6h,3c,0.5639,0.1687
Ah,3d,Td,Ks,4h,Qh,6d,0.5556,0.3201
Kc,4c,Ad,9d,9c,Ac,Ks,0.5435,0.7749
Ad,5c,9d,Ah,2s,Ac,8d,0.5813,0.9568
7h,Qh,2h,Jc,2d,Js,As,0.5364,0.3294
6c,4h,9d,8c,4s,4d,Qs,0.3758,0.9399
Jd,4d,Kc,Ks,Kd,4s,9h,0.4943,0.7432
Ac,4d,7c,Jc,3c,Qc,5s,0.5623,1.0
Jh,Qc,Ad,Ah,Td,3c,Th,0.5787,0.6039
Kc,Qc,9c,3h,Qd,4c,2h,0.6328,0.8518
Td,Ad,8d,4h,4d,2h,6s,0.6448,0.4409
6d,2s,4d,6c,Jd,8c,2c,0.345,0.8518
2h,Ts,Ac,6s,5h,7d,Qh,0.4196,0.1137
2c,5h,3h,Qs,2d,Th,4h,0.3437,0.3768
Ks,Td,Qh,9d,8s,Ah,5s,0.5933,0.3562
Td,Kd,Ac,Qh,2c,5d,Qc,0.6147,0.4489
Kh,2h,5h,3s,7d,Qh,7s,0.5363,0.3085
Ad,7d,6h,9c,9h,3h,4s,0.6102,0.4075
5h,Ad,3s,2s,5c,4s,9c,0.578,0.7312
8s,3s,9h,Js,Ks,2d,4s,0.4093,0.9768
Ac,Td,2h,5d,Jd,2s,9c,0.6271,0.4839
4d,As,4h,2s,8d,2h,2d,0.5619,0.7365
4h,9c,Td,2c,2h,As,3s,0.4105,0.1645
3c,8c,Qd,7d,9d,2d,7h,0.4037,0.0544
Qd,4c,5h,8c,Jh,Ah,9s,0.496,0.2102
Td,Tc,6d,8h,4s,Js,2h,0.7464,0.7541
Tc,4d,9s,5s,3h,9c,Qd,0.433,0.1568
As,3c,8s,7s,5c,Kh,6h,0.5642,0.1521
Kd,Ks,3s,7c,3d,2h,8d,0.823,0.897
3c,3h,3d,2c,5h,Kc,Qd,0.535,0.9614
3h,8s,6s,Ac,7c,Th,Kh,0.3705,0.107
Ah,6d,7c,Qd,Js,8d,2c,0.5812,0.3211
