0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
3,0,0,1,0,13,1,0,0,0,3,0,0,0,1,7,0,0,1,0,12,1,0,0,0,5,0,0,0,1,14,1,0,0,0,0.5455,0.474
14,0,0,1,0,10,0,0,0,1,11,1,0,0,0,14,1,0,0,0,8,1,0,0,0,9,0,0,1,0,13,1,0,0,0,0.6145,0.5085
2,0,0,0,1,9,0,1,0,0,14,1,0,0,0,7,0,1,0,0,14,0,0,0,1,4,0,1,0,0,13,0,0,0,1,0.3905,0.1925
5,1,0,0,0,7,0,0,0,1,14,0,0,1,0,11,1,0,0,0,7,1,0,0,0,14,0,1,0,0,3,0,0,0,1,0.3745,0.687
2,1,0,0,0,10,0,0,1,0,8,1,0,0,0,13,0,0,1,0,7,0,0,1,0,2,0,0,1,0,7,0,0,0,1,0.413,0.52
4,0,0,1,0,7,0,0,0,1,11,0,0,1,0,5,0,0,1,0,10,1,0,0,0,10,0,0,0,1,12,1,0,0,0,0.4195,0.133
6,1,0,0,0,12,0,1,0,0,8,1,0,0,0,7,0,0,1,0,13,0,0,1,0,8,0,1,0,0,10,0,0,0,1,0.517,0.313
13,0,0,0,1,4,1,0,0,0,2,0,1,0,0,9,0,1,0,0,12,0,0,1,0,6,1,0,0,0,8,0,0,0,1,0.5415,0.1905
7,0,1,0,0,9,0,1,0,0,4,1,0,0,0,2,0,0,0,1,10,1,0,0,0,3,0,1,0,0,5,0,0,0,1,0.4915,0.0195
13,0,0,1,0,14,1,0,0,0,10,0,0,1,0,3,0,1,0,0,10,0,0,0,1,4,0,1,0,0,2,1,0,0,0,0.6445,0.4695
13,1,0,0,0,8,0,0,0,1,9,0,0,1,0,12,0,1,0,0,2,1,0,0,0,12,1,0,0,0,8,0,0,1,0,0.5685,0.755
